Timestamp,Latitude,Longitude,Velocity (kmph)
"02-July-2025, 05:35:10 PM IST",22.73674197,-70.17592103,27586.32113
"02-July-2025, 05:35:15 PM IST",22.49623674,-69.96190828,27586.28791
"02-July-2025, 05:35:20 PM IST",22.25538208,-69.74870352,27586.25398
"02-July-2025, 05:35:25 PM IST",22.01418516,-69.53629725,27586.21933
"02-July-2025, 05:35:31 PM IST",21.72430476,-69.28244839,27586.1768
"02-July-2025, 05:35:37 PM IST",21.43394979,-69.02971586,27586.13322
"02-July-2025, 05:35:41 PM IST",21.24011747,-68.8618357,27586.10358
"02-July-2025, 05:35:46 PM IST",20.99753913,-68.65266219,27586.06585
"02-July-2025, 05:35:51 PM IST",20.75464694,-68.44423167,27586.02738
"02-July-2025, 05:35:57 PM IST",20.46276443,-68.19507669,27585.98022
"02-July-2025, 05:36:02 PM IST",20.21919283,-67.98823749,27585.94008
"02-July-2025, 05:36:07 PM IST",19.97532302,-67.78210699,27585.89918
"02-July-2025, 05:36:12 PM IST",19.7311559,-67.57667129,27585.85751
"02-July-2025, 05:36:18 PM IST",19.43777257,-67.33105334,27585.80647
"02-July-2025, 05:36:23 PM IST",19.19297235,-67.12711301,27585.76308
"02-July-2025, 05:36:28 PM IST",18.94789382,-66.92383741,27585.7189
"02-July-2025, 05:36:33 PM IST",18.70253768,-66.72121298,27585.67392
"02-July-2025, 06:01:38 PM IST",-48.80589806,6.439490111,27549.77018
"02-July-2025, 06:01:43 PM IST",-48.91545792,6.877970701,27549.7156
"02-July-2025, 06:01:47 PM IST",-49.00178301,7.230187549,27549.67302
"02-July-2025, 06:01:52 PM IST",-49.10802521,7.672241252,27549.62116
"02-July-2025, 06:01:58 PM IST",-49.23305426,8.205289669,27549.56093
"02-July-2025, 06:02:03 PM IST",-49.33517618,8.651624555,27549.51241
"02-July-2025, 06:02:09 PM IST",-49.45521981,9.189756125,27549.45621
"02-July-2025, 06:02:14 PM IST",-49.55315328,9.640279322,27549.41107
"02-July-2025, 06:02:18 PM IST",-49.63011272,10.00203984,27549.37607
"03-July-2025, 12:59:11 AM IST",48.60323848,79.50129803,27590.64483
"03-July-2025, 12:59:15 AM IST",48.69392705,79.85008476,27590.60791
"12-August-2025, 05:52:47 PM IST",-38.61129068,99.91885989,27558.91825
"12-August-2025, 05:52:52 PM IST",-38.80789654,100.2252798,27558.73442
"12-August-2025, 05:52:56 PM IST",-38.96451271,100.471706,27558.58795
"12-August-2025, 05:53:01 PM IST",-39.15943539,100.7813595,27558.4056
"12-August-2025, 05:53:06 PM IST",-39.35340937,101.0928325,27558.22408
"12-August-2025, 05:53:11 PM IST",-39.54642149,101.4061365,27558.04341
"12-August-2025, 05:53:15 PM IST",-39.70012955,101.658105,27557.8995
"12-August-2025, 05:53:20 PM IST",-39.89138076,101.9747386,27557.7204
"12-August-2025, 05:53:24 PM IST",-40.04366473,102.2293883,27557.57776
"12-August-2025, 06:02:08 PM IST",-51.77101846,146.4642269,27546.06807
"12-August-2025, 06:02:13 PM IST",-51.77924693,146.9622906,27546.04278
"12-August-2025, 06:02:18 PM IST",-51.78518739,147.4605118,27546.01926
"12-August-2025, 06:02:22 PM IST",-51.78829172,147.8591738,27546.00173
"12-August-2025, 06:02:27 PM IST",-51.79011143,148.3575536,27545.9814
"12-August-2025, 06:02:32 PM IST",-51.78964123,148.8559522,27545.96286
"12-August-2025, 06:02:37 PM IST",-51.7868812,149.3543131,27545.94609
"12-August-2025, 06:02:43 PM IST",-51.78054733,149.9522218,27545.92831
"12-August-2025, 06:02:47 PM IST",-51.77449415,150.3507081,27545.91787
"12-August-2025, 06:02:53 PM IST",-51.7626701,150.9481994,27545.90436
"12-August-2025, 06:02:58 PM IST",-51.75030317,151.4458303,27545.89505
"12-August-2025, 06:03:03 PM IST",-51.73565371,151.943148,27545.88752
"12-August-2025, 06:03:07 PM IST",-51.72229228,152.3407488,27545.88277
"12-August-2025, 06:03:12 PM IST",-51.70354088,152.8373839,27545.87843
"12-August-2025, 06:03:17 PM IST",-51.68251546,153.3335618,27545.87587
"12-August-2025, 06:03:22 PM IST",-51.65921945,153.8292396,27545.87509
"12-August-2025, 06:03:26 PM IST",-51.63895092,154.2253818,27545.87573
"12-August-2025, 06:03:31 PM IST",-51.61157899,154.7200253,27545.87814
"12-August-2025, 06:03:37 PM IST",-51.57575302,155.3127417,27545.88336
"12-August-2025, 06:03:42 PM IST",-51.54342116,155.8059025,27545.88966
"12-August-2025, 06:03:47 PM IST",-51.508844,156.2983071,27545.89773
"12-August-2025, 06:03:52 PM IST",-51.4720271,156.7899154,27545.90756
"12-August-2025, 06:03:57 PM IST",-51.43297722,157.2806757,27545.91916
"12-August-2025, 06:04:01 PM IST",-51.40013444,157.6726386,27545.92971
"12-August-2025, 06:04:06 PM IST",-51.35708274,158.1617545,27545.94447
"12-August-2025, 06:04:10 PM IST",-51.32104802,158.5523422,27545.95755
"12-August-2025, 06:04:15 PM IST",-51.27401877,159.0396651,27545.97548
"12-August-2025, 06:04:20 PM IST",-51.22479101,159.5259292,27545.99517
"12-August-2025, 06:04:26 PM IST",-51.16282768,160.1079858,27546.0211
"12-August-2025, 06:04:31 PM IST",-51.10879389,160.5917629,27546.04463
"12-August-2025, 06:04:36 PM IST",-51.05258938,161.074347,27546.06991
"12-August-2025, 06:04:41 PM IST",-50.99422408,161.5556929,27546.09693
"12-August-2025, 06:04:47 PM IST",-50.92134789,162.1316115,27546.13164
"12-August-2025, 06:04:52 PM IST",-50.85826378,162.6100911,27546.16248
"12-August-2025, 06:04:56 PM IST",-50.80626343,162.9918941,27546.18839
"12-August-2025, 06:05:00 PM IST",-50.75290692,163.3727999,27546.21541
"12-August-2025, 06:05:05 PM IST",-50.68431144,163.8476505,27546.25074
"12-August-2025, 06:05:10 PM IST",-50.6136166,164.3210349,27546.28778
"12-August-2025, 06:05:14 PM IST",-50.55555589,164.6986692,27546.31866
"12-August-2025, 06:15:21 PM IST",-30.51250985,-152.4081927,27561.2618
"01-September-2025, 03:13:59 PM IST",43.74318971,-148.6206642,27588.76947
